FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,ProcessedBy,GapeWidth,EpWidth,ProcessedBy,RakerNum,RakerLength1,RakerLength2,RakerLength3,RakerLength4,IRSpace1,IRSpace2,IRSpace3,,Notes
S180482,Engineer,1.66,N,50.8,12.19,10.97,F,Bailey,,,,,,,,,,,,,
S180483,Engineer,1.24,N,51.02,11.17,11.05,F,Bailey,,,,,,,,,,,,,
S180484,Engineer,1.34,N,48.99,9.54,10.6,F,Bailey,,,,,,,,,,,,,
S180485,Engineer,0.87,N,45.69,9.2,10.36,F,Bailey,,,,,,,,,,,,,
S180486,Engineer,2.71,N,62.04,12.88,13.8,F,Bailey,,,,,,,,,,,,,
S180487,Engineer,1.47,Y,53.56,10.94,12.18,M,Bailey,,,,,,,,,,,,,Black spot under left pectoral fin
S180488,Engineer,1.31,N,52.07,9.99,11.43,F,Bailey,,,,,,,,,,,,,
S180489,Engineer,1.2,N,50.47,10.79,11.24,F,Bailey,,,,,,,,,,,,,
S180490,Engineer,1.21,N,50.36,9.87,11.98,F,Bailey,,,,,,,,,,,,,
S180742,Long,0.46,N,40.06,7.77,7.95,F,Louis,,,,,,,,,,,,,
S180743,Long,1.39,Y,52.8,11.06,12.47,M,Louis,,,,,,,,,,,,,
S180744,Long,1.1,N,52.99,10.36,12.88,M,Louis,,,,,,,,,,,,,
S180745,Long,0.57,N,40.17,8.04,9.19,M,Louis,,,,,,,,,,,,,
S180738,Long,0.79,N,47.19,9.09,11.38,M,Louis,,,,,,,,,,,,,
S180739,Long,1.03,N,52.5,10.23,11.9,F,Louis,,,,,,,,,,,,,
S180740,Long,1.07,N,53.15,10.41,12.74,M,Louis,,,,,,,,,,,,,
S180741,Long,1.13,N,51.6,10.26,12.87,M,Louis,,,,,,,,,,,,,
S180733,Long,1.11,Y,51.62,10.41,12.25,M,Louis,,,,,,,,,,,,,
S180732,Long,0.76,N,47.63,8.24,11.08,M,Louis,,,,,,,,,,,,,
S180731,Long,0.53,N,40.91,7.76,8.47,M,Louis,,,,,,,,,,,,,
S180730,Long,0.91,N,49,9.25,11.35,M,Louis,,,,,,,,,,,,,
S180584,Spirit,0.66,N,43.33,8.07,9.71,F,Bailey,,,,,,,,,,,,,
S180583,Spirit,0.46,N,38.59,7.2,8.87,U,Bailey,,,,,,,,,,,,,
S180582,Spirit,0.9,N,43.2,8.85,10.45,F,Bailey,,,,,,,,,,,,,
S180581,Spirit,1.31,N,52.69,10.22,11.52,F,Bailey,,,,,,,,,,,,,
S180580,Spirit,0.63,N,41.45,8.18,9.12,F,Bailey,,,,,,,,,,,,,
S180579,Spirit,0.64,N,41.76,7.23,8.92,F,Bailey,,,,,,,,,,,,,
S180578,Spirit,0.6,N,44.64,7.96,10.8,M,Bailey,,,,,,,,,,,,,
S180577,Spirit,1.6,N,53.99,10.25,13.28,F,Bailey,,,,,,,,,,,,,
S180576,Spirit,0.57,N,37.84,8.39,8.53,F,Bailey,,,,,,,,,,,,,
S180575,Spirit,0.54,N,40.94,7.52,8.86,F,Bailey,,,,,,,,,,,,,
S180341,Watson,1.08,N,49.95,10.73,12.65,F,Bailey,,,,,,,,,,,,,
S180342,Watson,1.1,Y,50.37,10.62,11.01,M,Bailey,,,,,,,,,,,,,Small round growths/parasites on pec fins
S180343,Watson,0.65,N,42,9.03,9.87,F,Bailey,,,,,,,,,,,,,
S180344,Watson,0.75,N,42.6,9.28,9.13,M,Bailey,,,,,,,,,,,,,
S180345,Watson,0.88,N,43.11,10.05,10.57,M,Bailey,,,,,,,,,,,,,
S180346,Watson,0.59,N,43.83,8.55,10.07,F,Bailey,,,,,,,,,,,,,
S180347,Watson,0.5,N,39.2,7.87,9,M,Bailey,,,,,,,,,,,,,
S180348,Watson,0.46,N,38.09,7.41,8.99,M,Bailey,,,,,,,,,,,,,
S180349,Watson,0.59,N,41.87,8.89,9.19,F,Bailey,,,,,,,,,,,,,
S180350,Watson,0.86,N,45.34,10.13,9.91,F,Bailey,,,,,,,,,,,,,
S180622,Wik,0.63,N,45.02,7.38,9.53,F,Louis,,,,,,,,,,,,,
S180621,Wik,0.95,N,48.49,9.68,12.03,M,Louis,,,,,,,,,,,,,
S180620,Wik,0.8,N,45.44,7.46,11.18,M,Louis,,,,,,,,,,,,,
S180619,Wik,0.83,N,47.76,8.62,11.19,F,Louis,,,,,,,,,,,,,
S180615,Wik,0.91,N,48.39,8.82,11.09,F,Louis,,,,,,,,,,,,,
S180616,Wik,0.96,N,47.79,8.22,12.19,M,Louis,,,,,,,,,,,,,
S180617,Wik,0.71,N,41.54,7.53,9.21,F,Louis,,,,,,,,,,,,,
S180618,Wik,1.12,N,50.63,9.43,11.38,M,Louis,,,,,,,,,,,,,
S180611,Wik,0.66,N,43.52,8.17,11.27,U,Louis,,,,,,,,,,,,,
S180612,Wik,0.89,N,50.09,7.93,11.03,F,Louis,,,,,,,,,,,,,
S180613,Wik,0.44,N,38.57,6.34,9.37,F,Louis,,,,,,,,,,,,,
S180614,Wik,0.64,N,43.55,7.2,10.45,F,Louis,,,,,,,,,,,,,
S180051,G,0.91,N,47.95,9.53,10.21,F,Bailey,,,,,,,,,,,,,
S180052,G,1.05,N,45.08,8.99,10.3,F,Bailey,,,,,,,,,,,,,
S180053,G,1.08,N,48.58,9.66,11.94,F,Bailey,,,,,,,,,,,,,
S180054,G,1.62,N,55.8,10.26,14.24,M,Bailey,,,,,,,,,,,,,
S180055,G,1.32,N,52.1,9.82,11.6,F,Bailey,,,,,,,,,,,,,
S180056,G,1.14,N,50.37,10.5,12.01,F,Bailey,,,,,,,,,,,,,"Missing Tag, Replace upon finding"
S180057,G,1.2,N,53.77,9.28,12.16,F,Bailey,,,,,,,,,,,,,
S180058,G,0.73,N,46.77,8.74,10.87,F,Bailey,,,,,,,,,,,,,
S180059,G,1.09,N,50.68,8.64,11.94,F,Bailey,,,,,,,,,,,,,
S180060,G,1.65,N,57.38,10.5,13.92,M,Bailey,,,,,,,,,,,,,
S180248,Ruth,1.16,N,49.86,10.1,12.03,M,Grant,,,,,,,,,,,,,
S180247,Ruth,0.42,N,36.85,7.03,8.06,U,Grant,,,,,,,,,,,,,
S180246,Ruth,0.49,N,39.69,7.68,8.68,M,Grant,,,,,,,,,,,,,
S180245,Ruth,0.4,N,36.06,6.96,8.05,M,Grant,,,,,,,,,,,,,
S180244,Ruth,1.74,N,54.29,12.54,13.27,F,Grant,,,,,,,,,,,,,
S180243,Ruth,1.23,N,49.54,10.64,11.02,M,Grant,,,,,,,,,,,,,
S180242,Ruth,0.41,N,34.57,7.38,8.01,M,Grant,,,,,,,,,,,,,
S180241,Ruth,0.57,Y,39.58,8.14,8.31,F,Grant,,,,,,,,,,,,,parasitic copepods
